[2026-06-16 21:35:53,070] root - INFO - Starting data ingestion
[2026-06-16 21:35:56,349] root - INFO - Performed train test split on the dataframe
[2026-06-16 21:35:56,349] root - INFO - train set length : 8844
[2026-06-16 21:35:56,349] root - INFO - exporting train and test file path
[2026-06-16 21:35:56,412] root - INFO - Exported train and test file path successfully
[2026-06-16 21:35:56,412] root - INFO - Data ingestion completed and artifact: DataIngestionArtifact(trained_file_path='NetworkSecurity\\Artifacts\\06-16-2026_21-35-51\\data_ingestion\\ingested\\train.csv', testing_file_path='NetworkSecurity\\Artifacts\\06-16-2026_21-35-51\\data_ingestion\\ingested\\test.csv')
[2026-06-16 21:35:56,412] root - INFO - Starting data validation
[2026-06-16 21:35:56,459] root - INFO - Required number of columns: 31
[2026-06-16 21:35:56,459] root - INFO - Dataframe has columns: 31
[2026-06-16 21:35:56,459] root - INFO - Required number of columns: 31
[2026-06-16 21:35:56,459] root - INFO - Dataframe has columns: 31
[2026-06-16 21:35:56,646] root - INFO - data validation completed and artifact: {data_validation_artifact}
[2026-06-16 21:35:56,646] root - INFO - data transformation started
[2026-06-16 21:35:56,646] root - INFO - entered the initiate_data_transformation method of DataTransformation class
[2026-06-16 21:35:56,646] root - INFO - starting the data transformation
