[2026-06-16 21:34:37,409] root - INFO - Starting data ingestion
[2026-06-16 21:34:40,622] root - INFO - Performed train test split on the dataframe
[2026-06-16 21:34:40,622] root - INFO - train set length : 8844
[2026-06-16 21:34:40,622] root - INFO - exporting train and test file path
[2026-06-16 21:34:40,678] root - INFO - Exported train and test file path successfully
[2026-06-16 21:34:40,678] root - INFO - Data ingestion completed and artifact: DataIngestionArtifact(trained_file_path='NetworkSecurity\\Artifacts\\06-16-2026_21-34-35\\data_ingestion\\ingested\\train.csv', testing_file_path='NetworkSecurity\\Artifacts\\06-16-2026_21-34-35\\data_ingestion\\ingested\\test.csv')
[2026-06-16 21:34:40,678] root - INFO - Starting data validation
[2026-06-16 21:34:40,730] root - INFO - Required number of columns: 31
[2026-06-16 21:34:40,730] root - INFO - Dataframe has columns: 31
[2026-06-16 21:34:40,730] root - INFO - Required number of columns: 31
[2026-06-16 21:34:40,730] root - INFO - Dataframe has columns: 31
[2026-06-16 21:34:40,982] root - INFO - data validation completed and artifact: {data_validation_artifact}
