[2026-06-16 21:36:35,507] root - INFO - Starting data ingestion
[2026-06-16 21:36:38,644] root - INFO - Performed train test split on the dataframe
[2026-06-16 21:36:38,644] root - INFO - train set length : 8844
[2026-06-16 21:36:38,644] root - INFO - exporting train and test file path
[2026-06-16 21:36:38,695] root - INFO - Exported train and test file path successfully
[2026-06-16 21:36:38,695] root - INFO - Data ingestion completed and artifact: DataIngestionArtifact(trained_file_path='NetworkSecurity\\Artifacts\\06-16-2026_21-36-33\\data_ingestion\\ingested\\train.csv', testing_file_path='NetworkSecurity\\Artifacts\\06-16-2026_21-36-33\\data_ingestion\\ingested\\test.csv')
[2026-06-16 21:36:38,704] root - INFO - Starting data validation
[2026-06-16 21:36:38,738] root - INFO - Required number of columns: 31
[2026-06-16 21:36:38,738] root - INFO - Dataframe has columns: 31
[2026-06-16 21:36:38,738] root - INFO - Required number of columns: 31
[2026-06-16 21:36:38,738] root - INFO - Dataframe has columns: 31
[2026-06-16 21:36:38,943] root - INFO - data validation completed and artifact: {data_validation_artifact}
[2026-06-16 21:36:38,943] root - INFO - data transformation started
[2026-06-16 21:36:38,943] root - INFO - entered the initiate_data_transformation method of DataTransformation class
[2026-06-16 21:36:38,943] root - INFO - starting the data transformation
[2026-06-16 21:36:38,993] root - INFO - entered the data-transformer--bj method of transformation class
