[2026-06-16 21:37:37,793] root - INFO - Starting data ingestion
[2026-06-16 21:37:41,080] root - INFO - Performed train test split on the dataframe
[2026-06-16 21:37:41,080] root - INFO - train set length : 8844
[2026-06-16 21:37:41,080] root - INFO - exporting train and test file path
[2026-06-16 21:37:41,144] root - INFO - Exported train and test file path successfully
[2026-06-16 21:37:41,144] root - INFO - Data ingestion completed and artifact: DataIngestionArtifact(trained_file_path='NetworkSecurity\\Artifacts\\06-16-2026_21-37-36\\data_ingestion\\ingested\\train.csv', testing_file_path='NetworkSecurity\\Artifacts\\06-16-2026_21-37-36\\data_ingestion\\ingested\\test.csv')
[2026-06-16 21:37:41,159] root - INFO - Starting data validation
[2026-06-16 21:37:41,191] root - INFO - Required number of columns: 31
[2026-06-16 21:37:41,191] root - INFO - Dataframe has columns: 31
[2026-06-16 21:37:41,191] root - INFO - Required number of columns: 31
[2026-06-16 21:37:41,191] root - INFO - Dataframe has columns: 31
[2026-06-16 21:37:41,368] root - INFO - data validation completed and artifact: {data_validation_artifact}
[2026-06-16 21:37:41,368] root - INFO - data transformation started
[2026-06-16 21:37:41,368] root - INFO - entered the initiate_data_transformation method of DataTransformation class
[2026-06-16 21:37:41,368] root - INFO - starting the data transformation
[2026-06-16 21:37:41,423] root - INFO - entered the data-transformer--bj method of transformation class
[2026-06-16 21:37:41,423] root - INFO - initialized thhe KNN with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-16 21:37:41,573] root - INFO - entered the save_object method for mainutils class
[2026-06-16 21:37:41,573] root - INFO - exited the save_object method of mainutils class
[2026-06-16 21:37:41,573] root - INFO - data transformation completed
